# Chart Recorder Data File Thu, Feb 09, 2023 2:01 PM
# Time (s)	Position (m)
13:14:44.120	0.166000
13:14:46.118	0.166000
13:14:47.118	0.166000
13:14:48.118	0.000000
13:14:49.118	0.166000
13:14:50.118	0.166000
13:14:51.118	0.166000
13:14:52.117	0.166000
13:14:53.118	0.166000
13:14:54.117	0.166000
13:14:55.118	0.166000
13:14:56.118	0.166000
13:14:57.117	0.166000
13:14:58.117	0.166000
13:14:59.118	0.167000
13:15:00.118	0.167000
13:15:01.118	0.167000
13:15:02.118	0.167000
13:15:03.118	0.167000
13:15:04.118	0.167000
13:15:05.118	0.167000
13:15:06.118	0.168000
13:15:07.118	0.167000
13:15:08.118	0.168000
13:15:09.118	0.168000
13:15:10.118	0.168000
13:15:11.118	0.168000
13:15:12.118	0.169000
13:15:13.118	0.169000
13:15:14.118	0.169000
13:15:15.118	0.169000
13:15:16.118	0.169000
13:15:17.118	0.170000
13:15:18.118	0.170000
13:15:19.118	0.170000
13:15:20.117	0.170000
13:15:21.118	0.170000
13:15:22.117	0.171000
13:15:23.118	0.171000
13:15:24.118	0.171000
13:15:25.118	0.171000
13:15:26.117	0.171000
13:15:27.118	0.172000
13:15:28.117	0.172000
13:15:29.118	0.172000
13:15:30.117	0.173000
13:15:31.118	0.173000
13:15:32.117	0.173000
13:15:33.118	0.173000
13:15:34.117	0.174000
13:15:35.118	0.174000
13:15:36.118	0.174000
13:15:37.118	0.175000
13:15:38.117	0.175000
13:15:39.118	0.175000
13:15:40.117	0.175000
13:15:41.118	0.176000
13:15:42.118	0.176000
13:15:43.118	0.176000
13:15:44.118	0.177000
13:15:45.118	0.177000
13:15:46.118	0.177000
13:15:47.118	0.178000
13:15:48.117	0.178000
13:15:49.118	0.178000
13:15:50.118	0.179000
13:15:51.118	0.179000
13:15:52.118	0.179000
13:15:53.118	0.180000
13:15:54.118	0.180000
13:15:55.118	0.181000
13:15:56.118	0.181000
13:15:57.117	0.181000
13:15:58.118	0.182000
13:15:59.118	0.182000
13:16:00.117	0.182000
13:16:01.118	0.183000
13:16:02.118	0.183000
13:16:03.118	0.184000
13:16:04.117	0.184000
13:16:05.118	0.184000
13:16:06.117	0.185000
13:16:07.118	0.185000
13:16:08.118	0.186000
13:16:09.117	0.186000
13:16:10.118	0.186000
13:16:11.118	0.187000
13:16:12.118	0.187000
13:16:13.118	0.188000
13:16:14.118	0.188000
13:16:15.118	0.188000
13:16:16.118	0.189000
13:16:17.117	0.189000
13:16:18.118	0.190000
13:16:19.118	0.190000
13:16:20.118	0.191000
13:16:21.118	0.191000
13:16:22.118	0.191000
13:16:23.118	0.192000
13:16:24.117	0.192000
13:16:25.117	0.192000
13:16:26.117	0.193000
13:16:27.118	0.193000
13:16:28.118	0.194000
13:16:29.118	0.194000
13:16:30.118	0.194000
13:16:31.118	0.195000
13:16:32.118	0.195000
13:16:33.118	0.196000
13:16:34.118	0.196000
13:16:35.118	0.196000
13:16:36.118	0.197000
13:16:37.117	0.197000
13:16:38.118	0.198000
13:16:39.118	0.198000
13:16:40.118	0.198000
13:16:41.118	0.199000
13:16:42.118	0.199000
13:16:43.118	0.199000
13:16:44.118	0.199000
13:16:45.118	0.200000
13:16:46.118	0.200000
13:16:47.118	0.200000
13:16:48.117	0.201000
13:16:49.117	0.201000
13:16:50.118	0.201000
13:16:51.118	0.202000
13:16:52.118	0.202000
13:16:53.118	0.202000
13:16:54.118	0.202000
13:16:55.118	0.203000
13:16:56.117	0.203000
13:16:57.118	0.203000
13:16:58.118	0.203000
13:16:59.118	0.204000
13:17:00.118	0.204000
13:17:01.118	0.204000
13:17:02.118	0.204000
13:17:03.118	0.204000
13:17:04.118	0.205000
13:17:05.118	0.205000
13:17:06.118	0.205000
13:17:07.118	0.205000
13:17:08.118	0.205000
13:17:09.118	0.205000
13:17:10.118	0.206000
13:17:11.118	0.206000
13:17:12.118	0.206000
13:17:13.120	0.206000
13:17:14.117	0.206000
13:17:15.118	0.206000
13:17:16.118	0.207000
13:17:17.118	0.206000
13:17:18.118	0.207000
13:17:19.118	0.207000
13:17:20.118	0.207000
13:17:21.118	0.207000
13:17:22.118	0.207000
13:17:23.118	0.207000
13:17:24.118	0.207000
