# Chart Recorder Data File Thu, Feb 09, 2023 2:54 PM
# Time (s)	Position (m)
14:02:08.117	0.186000
14:02:09.118	0.186000
14:02:10.118	0.186000
14:02:11.118	0.186000
14:02:12.118	0.186000
14:02:13.118	0.185000
14:02:14.118	0.185000
14:02:15.117	0.185000
14:02:16.117	0.185000
14:02:17.117	0.185000
14:02:18.117	0.185000
14:02:19.118	0.185000
14:02:20.118	0.185000
14:02:21.118	0.185000
14:02:22.118	0.184000
14:02:23.118	0.184000
14:02:24.118	0.184000
14:02:25.118	0.184000
14:02:26.118	0.184000
14:02:27.118	0.184000
14:02:28.118	0.183000
14:02:29.118	0.183000
14:02:30.117	0.183000
14:02:31.118	0.183000
14:02:32.118	0.183000
14:02:33.118	0.182000
14:02:34.118	0.182000
14:02:35.118	0.182000
14:02:36.118	0.182000
14:02:37.117	0.182000
14:02:38.118	0.181000
14:02:39.118	0.181000
14:02:40.118	0.181000
14:02:41.118	0.180000
14:02:42.118	0.180000
14:02:43.117	0.180000
14:02:44.118	0.180000
14:02:45.118	0.179000
14:02:46.118	0.179000
14:02:47.118	0.179000
14:02:48.117	0.178000
14:02:49.118	0.178000
14:02:50.117	0.178000
14:02:51.117	0.177000
14:02:52.118	0.177000
14:02:53.118	0.177000
14:02:54.117	0.176000
14:02:55.118	0.176000
14:02:56.118	0.176000
14:02:57.118	0.176000
14:02:58.118	0.175000
14:02:59.118	0.175000
14:03:00.118	0.174000
14:03:01.118	0.174000
14:03:02.117	0.174000
14:03:03.118	0.173000
14:03:04.118	0.173000
14:03:05.118	0.173000
14:03:06.118	0.172000
14:03:07.118	0.172000
14:03:08.118	0.171000
14:03:09.117	0.171000
14:03:10.117	0.171000
14:03:11.118	0.170000
14:03:12.118	0.170000
14:03:13.118	0.170000
14:03:14.118	0.169000
14:03:15.118	0.169000
14:03:16.118	0.169000
14:03:17.117	0.168000
14:03:18.118	0.168000
14:03:19.118	0.167000
14:03:20.118	0.167000
14:03:21.118	0.167000
14:03:22.118	0.166000
14:03:23.117	0.166000
14:03:24.118	0.166000
14:03:25.118	0.165000
14:03:26.117	0.165000
14:03:27.118	0.165000
14:03:28.122	0.164000
14:03:29.118	0.164000
14:03:30.118	0.164000
14:03:31.117	0.163000
14:03:32.118	0.163000
14:03:33.118	0.163000
14:03:34.117	0.162000
14:03:35.118	0.162000
14:03:36.118	0.161000
14:03:37.118	0.161000
14:03:38.118	0.161000
14:03:39.118	0.160000
14:03:40.118	0.160000
14:03:41.118	0.160000
14:03:42.118	0.160000
14:03:43.118	0.159000
14:03:44.118	0.159000
14:03:45.118	0.158000
14:03:46.118	0.158000
14:03:47.118	0.158000
14:03:48.118	0.158000
14:03:49.118	0.157000
14:03:50.118	0.157000
14:03:51.118	0.156000
14:03:52.118	0.156000
14:03:53.118	0.156000
14:03:54.117	0.156000
14:03:55.118	0.155000
14:03:56.118	0.155000
14:03:57.118	0.155000
14:03:58.118	0.154000
14:03:59.118	0.154000
14:04:00.117	0.154000
14:04:01.118	0.154000
14:04:02.118	0.153000
14:04:03.117	0.153000
14:04:04.118	0.153000
14:04:05.118	0.153000
14:04:06.117	0.152000
14:04:07.118	0.152000
14:04:08.118	0.152000
14:04:09.118	0.152000
14:04:10.118	0.151000
14:04:11.118	0.151000
14:04:12.118	0.151000
14:04:13.118	0.151000
14:04:14.118	0.151000
14:04:15.118	0.151000
14:04:16.117	0.150000
14:04:17.118	0.150000
14:04:18.117	0.150000
14:04:19.118	0.150000
14:04:20.117	0.150000
14:04:21.118	0.150000
14:04:22.117	0.149000
14:04:23.117	0.149000
14:04:24.118	0.149000
14:04:25.118	0.149000
14:04:26.118	0.149000
14:04:27.117	0.149000
14:04:28.118	0.149000
14:04:29.118	0.149000
14:04:30.117	0.149000
14:04:31.117	0.149000
14:04:32.118	0.149000
14:04:33.118	0.148000
14:04:34.118	0.149000
14:04:35.118	0.148000
14:04:36.118	0.148000
14:04:37.118	0.148000
14:04:38.118	0.148000
14:04:39.118	0.148000
14:04:40.118	0.148000
14:04:41.118	0.148000
14:04:42.118	0.148000
14:04:43.118	0.148000
14:04:44.118	0.148000
14:04:45.118	0.148000
14:04:46.118	0.149000
14:04:47.118	0.149000
14:04:48.118	0.149000
14:04:49.118	0.149000
14:04:50.118	0.149000
14:04:51.118	0.149000
14:04:52.118	0.149000
14:04:53.118	0.149000
14:04:54.118	0.149000
14:04:55.118	0.149000
14:04:56.118	0.149000
14:04:57.118	0.149000
14:04:58.118	0.150000
14:04:59.118	0.150000
14:05:00.117	0.150000
14:05:01.118	0.150000
14:05:02.117	0.150000
14:05:03.118	0.150000
14:05:04.118	0.150000
14:05:05.118	0.151000
14:05:06.117	0.151000
14:05:07.117	0.151000
14:05:08.117	0.151000
14:05:09.117	0.151000
14:05:10.118	0.151000
14:05:11.118	0.152000
14:05:12.118	0.152000
14:05:13.118	0.152000
14:05:14.118	0.152000
14:05:15.118	0.153000
14:05:16.118	0.153000
14:05:17.118	0.153000
14:05:18.118	0.153000
14:05:19.118	0.154000
14:05:20.118	0.154000
14:05:21.118	0.154000
14:05:22.118	0.154000
14:05:23.118	0.154000
14:05:24.118	0.155000
14:05:25.118	0.155000
14:05:26.117	0.155000
14:05:27.118	0.156000
14:05:28.118	0.156000
14:05:29.118	0.156000
14:05:30.117	0.156000
14:05:31.118	0.157000
14:05:32.118	0.157000
14:05:33.117	0.157000
14:05:34.118	0.158000
14:05:35.117	0.158000
14:05:36.117	0.158000
14:05:37.117	0.158000
14:05:38.118	0.159000
14:05:39.117	0.159000
14:05:40.118	0.159000
14:05:41.118	0.160000
14:05:42.118	0.160000
14:05:43.117	0.160000
14:05:44.118	0.161000
14:05:45.118	0.161000
14:05:46.118	0.161000
14:05:47.118	0.162000
14:05:48.118	0.162000
14:05:49.118	0.162000
14:05:50.117	0.162000
14:05:51.117	0.163000
14:05:52.118	0.163000
14:05:53.118	0.164000
14:05:54.117	0.164000
14:05:55.118	0.164000
14:05:56.118	0.164000
14:05:57.117	0.165000
14:05:58.118	0.165000
14:05:59.118	0.165000
14:06:00.117	0.165000
14:06:01.117	0.166000
14:06:02.118	0.166000
14:06:03.118	0.167000
14:06:04.118	0.167000
14:06:05.117	0.167000
14:06:06.117	0.167000
14:06:07.118	0.168000
14:06:08.118	0.168000
14:06:09.117	0.168000
14:06:10.118	0.169000
14:06:11.118	0.169000
14:06:12.117	0.169000
14:06:13.118	0.170000
14:06:14.118	0.170000
14:06:15.117	0.170000
14:06:16.118	0.170000
14:06:17.118	0.171000
14:06:18.118	0.171000
14:06:19.117	0.171000
14:06:20.117	0.171000
14:06:21.118	0.172000
14:06:22.118	0.172000
14:06:23.118	0.172000
14:06:24.118	0.173000
14:06:25.118	0.173000
14:06:26.118	0.173000
14:06:27.118	0.173000
14:06:28.118	0.174000
14:06:29.118	0.174000
14:06:30.118	0.174000
14:06:31.118	0.174000
14:06:32.118	0.175000
14:06:33.117	0.175000
14:06:34.118	0.175000
14:06:35.118	0.175000
14:06:36.117	0.176000
14:06:37.118	0.176000
14:06:38.117	0.176000
14:06:39.118	0.176000
14:06:40.118	0.176000
14:06:41.118	0.177000
14:06:42.118	0.177000
14:06:43.117	0.177000
14:06:44.117	0.177000
14:06:45.118	0.177000
14:06:46.118	0.177000
14:06:47.118	0.178000
14:06:48.118	0.178000
14:06:49.117	0.178000
14:06:50.118	0.178000
14:06:51.118	0.178000
14:06:52.117	0.178000
14:06:53.118	0.178000
14:06:54.118	0.178000
14:06:55.118	0.179000
14:06:56.118	0.178000
14:06:57.118	0.179000
14:06:58.118	0.179000
14:06:59.118	0.179000
14:07:00.118	0.179000
14:07:01.118	0.179000
14:07:02.118	0.179000
14:07:03.118	0.179000
14:07:04.118	0.179000
14:07:05.118	0.179000
14:07:06.118	0.179000
14:07:07.117	0.179000
14:07:08.118	0.179000
14:07:09.118	0.179000
14:07:10.118	0.179000
14:07:11.117	0.180000
14:07:12.117	0.180000
14:07:13.117	0.180000
14:07:14.118	0.180000
14:07:15.118	0.180000
14:07:16.118	0.180000
14:07:17.118	0.180000
14:07:18.117	0.179000
14:07:19.118	0.179000
14:07:20.118	0.179000
14:07:21.118	0.179000
14:07:22.117	0.179000
14:07:23.117	0.179000
14:07:24.118	0.179000
14:07:25.117	0.179000
14:07:26.118	0.179000
14:07:27.118	0.179000
14:07:28.118	0.179000
14:07:29.118	0.179000
14:07:30.118	0.179000
14:07:31.118	0.178000
14:07:32.118	0.178000
14:07:33.117	0.178000
14:07:34.118	0.178000
14:07:35.118	0.178000
14:07:36.118	0.178000
14:07:37.118	0.178000
14:07:38.118	0.177000
14:07:39.118	0.177000
14:07:40.118	0.177000
14:07:41.118	0.177000
14:07:42.118	0.177000
14:07:43.118	0.177000
14:07:44.118	0.177000
14:07:45.118	0.176000
14:07:46.118	0.176000
14:07:47.118	0.176000
14:07:48.117	0.176000
14:07:49.118	0.176000
14:07:50.118	0.175000
14:07:51.118	0.175000
14:07:52.117	0.175000
14:07:53.118	0.175000
14:07:54.118	0.174000
14:07:55.117	0.174000
14:07:56.118	0.174000
14:07:57.118	0.174000
14:07:58.118	0.174000
14:07:59.118	0.174000
14:08:00.118	0.173000
14:08:01.117	0.173000
14:08:02.118	0.173000
14:08:03.118	0.173000
14:08:04.118	0.172000
14:08:05.118	0.172000
14:08:06.118	0.172000
14:08:07.117	0.171000
14:08:08.118	0.171000
14:08:09.118	0.171000
14:08:10.118	0.171000
14:08:11.118	0.171000
14:08:12.118	0.170000
14:08:13.118	0.170000
14:08:14.118	0.170000
14:08:15.118	0.170000
14:08:16.118	0.169000
14:08:17.118	0.169000
14:08:18.118	0.169000
14:08:19.118	0.169000
14:08:20.118	0.168000
14:08:21.118	0.168000
14:08:22.117	0.168000
14:08:23.118	0.168000
14:08:24.117	0.167000
14:08:25.117	0.167000
14:08:26.118	0.167000
14:08:27.118	0.166000
14:08:28.118	0.166000
14:08:29.118	0.166000
14:08:30.117	0.166000
14:08:31.117	0.165000
14:08:32.118	0.165000
14:08:33.117	0.165000
14:08:34.118	0.165000
14:08:35.118	0.164000
14:08:36.118	0.164000
14:08:37.118	0.164000
14:08:38.118	0.164000
14:08:39.118	0.164000
14:08:40.118	0.163000
14:08:41.118	0.163000
14:08:42.117	0.163000
14:08:43.118	0.162000
14:08:44.118	0.162000
14:08:45.118	0.162000
14:08:46.118	0.162000
14:08:47.118	0.162000
14:08:48.118	0.161000
14:08:49.118	0.161000
14:08:50.117	0.161000
14:08:51.118	0.160000
14:08:52.118	0.160000
14:08:53.118	0.160000
14:08:54.117	0.160000
14:08:55.118	0.160000
14:08:56.118	0.159000
14:08:57.118	0.159000
14:08:58.118	0.159000
14:08:59.118	0.159000
14:09:00.118	0.158000
14:09:01.117	0.158000
14:09:02.118	0.158000
14:09:03.118	0.158000
14:09:04.118	0.158000
14:09:05.118	0.157000
14:09:06.118	0.157000
14:09:07.118	0.157000
14:09:08.118	0.157000
14:09:09.118	0.157000
14:09:10.117	0.157000
14:09:11.118	0.156000
14:09:12.117	0.156000
14:09:13.118	0.156000
14:09:14.118	0.156000
14:09:15.117	0.156000
14:09:16.118	0.156000
14:09:17.118	0.156000
14:09:18.118	0.155000
14:09:19.118	0.155000
14:09:20.118	0.155000
14:09:21.118	0.155000
14:09:22.118	0.155000
14:09:23.118	0.155000
14:09:24.118	0.154000
14:09:25.118	0.154000
14:09:26.118	0.154000
14:09:27.118	0.154000
14:09:28.117	0.154000
14:09:29.118	0.154000
14:09:30.118	0.154000
14:09:31.118	0.154000
14:09:32.118	0.154000
14:09:33.118	0.154000
14:09:34.118	0.154000
14:09:35.118	0.153000
14:09:36.118	0.153000
14:09:37.117	0.153000
14:09:38.118	0.153000
14:09:39.118	0.153000
14:09:40.117	0.153000
14:09:41.118	0.153000
14:09:42.117	0.153000
14:09:43.118	0.153000
14:09:44.118	0.153000
14:09:45.117	0.153000
14:09:46.118	0.153000
14:09:47.118	0.153000
14:09:48.118	0.153000
14:09:49.118	0.153000
14:09:50.117	0.153000
14:09:51.118	0.153000
14:09:52.118	0.153000
14:09:53.118	0.153000
14:09:54.118	0.154000
14:09:55.118	0.154000
14:09:56.118	0.154000
14:09:57.117	0.154000
14:09:58.117	0.154000
14:09:59.118	0.154000
14:10:00.118	0.154000
14:10:01.117	0.154000
14:10:02.118	0.154000
14:10:03.118	0.154000
14:10:04.118	0.154000
14:10:05.118	0.154000
14:10:06.118	0.154000
14:10:07.118	0.155000
14:10:08.118	0.155000
14:10:09.118	0.155000
14:10:10.118	0.155000
14:10:11.118	0.155000
14:10:12.118	0.155000
14:10:13.117	0.155000
14:10:14.118	0.155000
14:10:15.118	0.155000
14:10:16.118	0.156000
14:10:17.118	0.156000
14:10:18.118	0.156000
14:10:19.118	0.156000
14:10:20.118	0.156000
14:10:21.118	0.156000
14:10:22.118	0.157000
14:10:23.118	0.157000
14:10:24.117	0.157000
14:10:25.118	0.157000
14:10:26.118	0.157000
14:10:27.118	0.157000
14:10:28.118	0.158000
14:10:29.117	0.158000
14:10:30.118	0.158000
14:10:31.118	0.158000
14:10:32.117	0.158000
14:10:33.118	0.158000
14:10:34.118	0.159000
14:10:35.118	0.159000
14:10:36.118	0.159000
