Chart Recorder Data File Tue, Feb 07, 2023 2:02 PM
Time (s)	Position (m)  
13:15:56.309	0.161000
13:15:57.310	0.161000
13:15:58.310	0.161000
13:15:59.309	0.161000
13:16:00.310	0.161000
13:16:01.309	0.161000
13:16:02.310	0.161000
13:16:03.309	0.161000
13:16:04.309	0.161000
13:16:05.310	0.161000
13:16:06.309	0.161000
13:16:07.310	0.161000
13:16:08.309	0.161000
13:16:09.309	0.161000
13:16:10.309	0.161000
13:16:11.309	0.161000
13:16:12.310	0.000000
13:16:13.309	0.000000
13:16:14.309	0.000000
13:16:15.309	0.000000
13:16:16.309	0.161000
13:16:17.310	0.161000
13:16:18.309	0.161000
13:16:19.309	0.162000
13:16:20.309	0.162000
13:16:21.309	0.162000
13:16:22.309	0.162000
13:16:23.310	0.162000
13:16:24.310	0.162000
13:16:25.309	0.162000
13:16:26.310	0.163000
13:16:27.310	0.163000
13:16:28.309	0.163000
13:16:29.309	0.163000
13:16:30.309	0.164000
13:16:31.309	0.164000
13:16:32.309	0.164000
13:16:33.310	0.164000
13:16:34.309	0.165000
13:16:35.309	0.165000
13:16:36.309	0.165000
13:16:37.309	0.165000
13:16:38.309	0.165000
13:16:39.309	0.165000
13:16:40.309	0.166000
13:16:41.309	0.166000
13:16:42.309	0.166000
13:16:43.309	0.167000
13:16:44.309	0.167000
13:16:45.310	0.167000
13:16:46.309	0.168000
13:16:47.309	0.168000
13:16:48.309	0.168000
13:16:49.310	0.168000
13:16:50.309	0.168000
13:16:51.310	0.169000
13:16:52.309	0.169000
13:16:53.310	0.169000
13:16:54.309	0.169000
13:16:55.309	0.170000
13:16:56.309	0.170000
13:16:57.309	0.170000
13:16:58.309	0.171000
13:16:59.309	0.171000
13:17:00.309	0.171000
13:17:01.309	0.171000
13:17:02.309	0.171000
13:17:03.310	0.172000
13:17:04.309	0.172000
13:17:05.310	0.172000
13:17:06.309	0.173000
13:17:07.309	0.173000
13:17:08.309	0.173000
13:17:09.310	0.173000
13:17:10.310	0.174000
13:17:11.309	0.174000
13:17:12.310	0.174000
13:17:13.309	0.174000
13:17:14.309	0.175000
13:17:15.310	0.175000
13:17:16.309	0.176000
13:17:17.309	0.176000
13:17:18.309	0.176000
13:17:19.310	0.176000
13:17:20.309	0.177000
13:17:21.310	0.177000
13:17:22.310	0.177000
13:17:23.310	0.178000
13:17:24.309	0.178000
13:17:25.309	0.179000
13:17:26.309	0.179000
13:17:27.310	0.180000
13:17:28.310	0.180000
13:17:29.309	0.181000
13:17:30.309	0.181000
13:17:31.309	0.181000
13:17:32.309	0.182000
13:17:33.309	0.182000
13:17:34.310	0.183000
13:17:35.309	0.183000
13:17:36.309	0.184000
13:17:37.310	0.184000
13:17:38.309	0.185000
13:17:39.309	0.185000
13:17:40.310	0.186000
13:17:41.309	0.186000
13:17:42.309	0.186000
13:17:43.310	0.187000
13:17:44.310	0.187000
13:17:45.310	0.188000
13:17:46.309	0.189000
13:17:47.310	0.189000
13:17:48.310	0.189000
13:17:49.309	0.190000
13:17:50.310	0.190000
13:17:51.309	0.191000
13:17:52.309	0.191000
13:17:53.309	0.191000
13:17:54.310	0.192000
13:17:55.309	0.192000
13:17:56.309	0.193000
13:17:57.310	0.193000
13:17:58.310	0.194000
13:17:59.309	0.194000
13:18:00.309	0.195000
13:18:01.309	0.195000
13:18:02.310	0.195000
13:18:03.310	0.196000
13:18:04.309	0.196000
13:18:05.309	0.196000
13:18:06.309	0.197000
13:18:07.309	0.197000
13:18:08.309	0.197000
13:18:09.310	0.198000
13:18:10.310	0.198000
13:18:11.309	0.199000
13:18:12.309	0.199000
13:18:13.310	0.199000
13:18:14.310	0.199000
13:18:15.309	0.199000
13:18:16.309	0.200000
13:18:17.309	0.200000
13:18:18.309	0.200000
13:18:19.309	0.200000
13:18:20.310	0.200000
13:18:21.309	0.201000
13:18:22.310	0.201000
13:18:23.309	0.201000
13:18:24.309	0.201000
13:18:25.309	0.201000
13:18:26.309	0.201000
13:18:27.309	0.201000
13:18:28.309	0.201000
13:18:29.310	0.202000
13:18:30.309	0.202000
13:18:31.310	0.202000
13:18:32.309	0.202000
13:18:33.309	0.202000
13:18:34.310	0.202000
13:18:35.309	0.202000
13:18:36.309	0.202000
13:18:37.309	0.202000
13:18:38.309	0.202000
13:18:39.309	0.203000
13:18:40.309	0.203000
13:18:41.309	0.203000
13:18:42.309	0.203000
13:18:43.309	0.203000
13:18:44.309	0.203000
13:18:45.310	0.203000
13:18:46.309	0.203000
13:18:47.309	0.203000
13:18:48.309	0.203000
13:18:49.310	0.203000
13:18:50.310	0.203000
13:18:51.309	0.203000
13:18:52.309	0.203000
13:18:53.310	0.203000
13:18:54.310	0.203000
13:18:55.309	0.203000
13:18:56.310	0.203000
13:18:57.309	0.203000
13:18:58.310	0.203000
13:18:59.310	0.203000
13:19:00.309	0.203000
13:19:01.310	0.203000
13:19:02.309	0.203000
13:19:03.309	0.203000
13:19:04.309	0.203000
13:19:05.309	0.203000
13:19:06.310	0.203000
13:19:07.309	0.203000
13:19:08.310	0.203000
13:19:09.309	0.203000
13:19:10.310	0.203000
13:19:11.309	0.203000
13:19:12.310	0.203000
13:19:13.309	0.203000
13:19:14.310	0.203000
13:19:15.309	0.203000
13:19:16.309	0.202000
13:19:17.309	0.202000
13:19:18.310	0.202000
13:19:19.309	0.202000
13:19:20.310	0.202000
13:19:21.310	0.202000
13:19:22.309	0.201000
13:19:23.310	0.201000
13:19:24.309	0.201000
13:19:25.310	0.201000
13:19:26.310	0.201000
13:19:27.309	0.200000
13:19:28.309	0.200000
13:19:29.310	0.200000
13:19:30.309	0.199000
13:19:31.310	0.199000
13:19:32.309	0.199000
13:19:33.309	0.199000
13:19:34.309	0.198000
13:19:35.309	0.198000
13:19:36.310	0.198000
13:19:37.310	0.198000
13:19:38.309	0.197000
13:19:39.310	0.197000
13:19:40.310	0.197000
13:19:41.310	0.196000
13:19:42.309	0.196000
13:19:43.309	0.195000
13:19:44.310	0.195000
13:19:45.309	0.194000
13:19:46.309	0.194000
13:19:47.309	0.194000
13:19:48.309	0.193000
13:19:49.309	0.193000
13:19:50.310	0.193000
13:19:51.310	0.192000
13:19:52.309	0.192000
13:19:53.309	0.191000
13:19:54.309	0.191000
13:19:55.309	0.191000
13:19:56.310	0.190000
13:19:57.309	0.190000
13:19:58.309	0.190000
13:19:59.309	0.189000
13:20:00.310	0.189000
13:20:01.310	0.189000
13:20:02.309	0.188000
13:20:03.310	0.188000
13:20:04.310	0.187000
13:20:05.309	0.187000
13:20:06.309	0.187000
13:20:07.309	0.186000
13:20:08.310	0.186000
13:20:09.309	0.186000
13:20:10.309	0.185000
