Chart Recorder Data File Tue, Feb 07, 2023 3:46 PM
Time (s)	Position (m)  
14:55:20.311	0.161000
14:55:21.309	0.161000
14:55:22.310	0.160000
14:55:23.309	0.159000
14:55:24.309	0.159000
14:55:25.309	0.158000
14:55:26.310	0.157000
14:55:27.310	0.156000
14:55:28.311	0.155000
14:55:29.309	0.154000
14:55:30.309	0.153000
14:55:31.310	0.151000
14:55:32.310	0.151000
14:55:33.310	0.149000
14:55:34.310	0.148000
14:55:35.309	0.147000
14:55:36.310	0.146000
14:55:37.309	0.145000
14:55:38.309	0.144000
14:55:39.310	0.143000
14:55:40.309	0.141000
14:55:41.309	0.140000
14:55:42.310	0.139000
14:55:43.309	0.138000
14:55:44.310	0.137000
14:55:45.310	0.136000
14:55:46.310	0.135000
14:55:47.309	0.134000
14:55:48.310	0.133000
14:55:49.310	0.132000
14:55:50.309	0.131000
14:55:51.309	0.130000
14:55:52.310	0.128000
14:55:53.309	0.127000
14:55:54.310	0.126000
14:55:55.310	0.125000
14:55:56.309	0.124000
14:55:57.310	0.123000
14:55:58.309	0.122000
14:55:59.309	0.121000
14:56:00.310	0.120000
14:56:01.310	0.119000
14:56:02.309	0.118000
14:56:03.309	0.117000
14:56:04.310	0.116000
14:56:05.310	0.115000
14:56:06.309	0.114000
14:56:07.310	0.113000
14:56:08.309	0.113000
14:56:09.309	0.112000
14:56:10.309	0.111000
14:56:11.310	0.110000
14:56:12.309	0.109000
14:56:13.309	0.108000
14:56:14.310	0.107000
14:56:15.310	0.107000
14:56:16.310	0.106000
14:56:17.310	0.105000
14:56:18.310	0.104000
14:56:19.310	0.104000
14:56:20.309	0.103000
14:56:21.311	0.102000
14:56:22.309	0.102000
14:56:23.310	0.101000
14:56:24.310	0.100000
14:56:25.310	0.100000
14:56:26.310	0.099000
14:56:27.309	0.099000
14:56:28.311	0.098000
14:56:29.309	0.097000
14:56:30.309	0.097000
14:56:31.309	0.096000
14:56:32.309	0.096000
14:56:33.310	0.095000
14:56:34.310	0.095000
14:56:35.309	0.095000
14:56:36.309	0.094000
14:56:37.309	0.094000
14:56:38.310	0.093000
14:56:39.310	0.093000
14:56:40.309	0.093000
14:56:41.310	0.093000
14:56:42.310	0.092000
14:56:43.310	0.092000
14:56:44.309	0.092000
14:56:45.309	0.092000
14:56:46.309	0.092000
14:56:47.310	0.091000
14:56:48.310	0.091000
14:56:49.310	0.091000
14:56:50.310	0.091000
14:56:51.310	0.091000
14:56:52.309	0.091000
14:56:53.309	0.091000
14:56:54.310	0.091000
14:56:55.310	0.091000
14:56:56.311	0.091000
14:56:57.309	0.091000
14:56:58.309	0.091000
14:56:59.310	0.091000
14:57:00.309	0.091000
14:57:01.309	0.091000
14:57:02.311	0.091000
14:57:03.310	0.092000
14:57:04.309	0.092000
14:57:05.309	0.092000
14:57:06.310	0.092000
14:57:07.309	0.093000
14:57:08.309	0.093000
14:57:09.309	0.093000
14:57:10.310	0.093000
14:57:11.309	0.094000
14:57:12.309	0.094000
14:57:13.309	0.095000
14:57:14.309	0.095000
14:57:15.310	0.096000
14:57:16.309	0.096000
14:57:17.309	0.096000
14:57:18.309	0.097000
14:57:19.309	0.097000
14:57:20.309	0.098000
14:57:21.309	0.098000
14:57:22.309	0.099000
14:57:23.310	0.099000
14:57:24.309	0.100000
14:57:25.309	0.101000
14:57:26.309	0.101000
14:57:27.309	0.102000
14:57:28.310	0.102000
14:57:29.310	0.103000
14:57:30.309	0.104000
14:57:31.310	0.104000
