Chart Recorder Data File Thu, Feb 09, 2023 3:46 PM
Time (s)	Position (m)  
14:55:03.117	0.163000
14:55:05.118	0.163000
14:55:06.118	0.162000
14:55:07.118	0.162000
14:55:08.118	0.162000
14:55:09.118	0.162000
14:55:10.118	0.162000
14:55:11.118	0.162000
14:55:12.118	0.162000
14:55:13.117	0.162000
14:55:14.118	0.162000
14:55:15.118	0.162000
14:55:16.118	0.161000
14:55:17.118	0.161000
14:55:18.117	0.161000
14:55:19.117	0.160000
14:55:20.117	0.160000
14:55:21.118	0.160000
14:55:22.117	0.159000
14:55:23.118	0.159000
14:55:24.118	0.159000
14:55:25.118	0.158000
14:55:26.118	0.158000
14:55:27.118	0.158000
14:55:28.118	0.158000
14:55:29.118	0.157000
14:55:30.118	0.157000
14:55:31.117	0.157000
14:55:32.118	0.156000
14:55:33.117	0.156000
14:55:34.117	0.156000
14:55:35.118	0.155000
14:55:36.118	0.155000
14:55:37.118	0.154000
14:55:38.118	0.154000
14:55:39.118	0.154000
14:55:40.117	0.154000
14:55:41.118	0.153000
14:55:42.118	0.153000
14:55:43.118	0.153000
14:55:44.118	0.152000
14:55:45.118	0.152000
14:55:46.118	0.152000
14:55:47.117	0.151000
14:55:48.118	0.151000
14:55:49.118	0.150000
14:55:50.118	0.150000
14:55:51.118	0.150000
14:55:52.118	0.149000
14:55:53.118	0.149000
14:55:54.117	0.149000
14:55:55.118	0.149000
14:55:56.118	0.149000
14:55:57.118	0.148000
14:55:58.118	0.148000
14:55:59.117	0.148000
14:56:00.118	0.147000
14:56:01.118	0.147000
14:56:02.118	0.147000
14:56:03.118	0.146000
14:56:04.118	0.146000
14:56:05.118	0.146000
14:56:06.118	0.146000
14:56:07.118	0.146000
14:56:08.118	0.145000
14:56:09.118	0.145000
14:56:10.117	0.145000
14:56:11.117	0.145000
14:56:12.117	0.144000
14:56:13.118	0.144000
14:56:14.118	0.144000
14:56:15.118	0.144000
14:56:16.118	0.143000
14:56:17.118	0.143000
14:56:18.117	0.143000
14:56:19.118	0.143000
14:56:20.118	0.142000
14:56:21.118	0.142000
14:56:22.118	0.142000
14:56:23.118	0.142000
14:56:24.118	0.141000
14:56:25.118	0.141000
14:56:26.118	0.141000
14:56:27.118	0.141000
14:56:28.118	0.140000
14:56:29.117	0.140000
14:56:30.117	0.140000
14:56:31.118	0.139000
14:56:32.118	0.139000
14:56:33.117	0.139000
14:56:34.117	0.139000
14:56:35.118	0.138000
14:56:36.117	0.138000
14:56:37.118	0.138000
14:56:38.118	0.138000
14:56:39.118	0.137000
14:56:40.118	0.137000
14:56:41.117	0.137000
14:56:42.118	0.137000
14:56:43.118	0.136000
14:56:44.118	0.136000
14:56:45.117	0.136000
14:56:46.118	0.135000
14:56:47.118	0.135000
14:56:48.118	0.135000
14:56:49.118	0.134000
14:56:50.118	0.134000
14:56:51.118	0.134000
14:56:52.118	0.134000
14:56:53.117	0.133000
14:56:54.119	0.133000
14:56:55.119	0.133000
14:56:56.118	0.133000
14:56:57.118	0.132000
14:56:58.118	0.132000
14:56:59.118	0.132000
14:57:00.118	0.132000
14:57:01.118	0.132000
14:57:02.118	0.131000
14:57:03.118	0.131000
14:57:04.118	0.131000
14:57:05.118	0.131000
14:57:06.117	0.131000
14:57:07.118	0.131000
14:57:08.118	0.130000
14:57:09.118	0.130000
14:57:10.118	0.130000
14:57:11.117	0.130000
14:57:12.118	0.130000
14:57:13.118	0.130000
14:57:14.118	0.130000
14:57:15.118	0.130000
14:57:16.118	0.130000
14:57:17.117	0.130000
14:57:18.118	0.130000
14:57:19.118	0.130000
14:57:20.118	0.130000
14:57:21.118	0.130000
14:57:22.118	0.130000
14:57:23.118	0.130000
14:57:24.118	0.130000
14:57:25.118	0.130000
14:57:26.118	0.130000
14:57:27.118	0.130000
14:57:28.118	0.130000
14:57:29.118	0.130000
14:57:30.118	0.130000
14:57:31.118	0.130000
14:57:32.118	0.130000
14:57:33.118	0.130000
14:57:34.118	0.130000
14:57:35.118	0.131000
14:57:36.118	0.131000
14:57:37.117	0.131000
14:57:38.118	0.131000
14:57:39.118	0.131000
14:57:40.117	0.131000
14:57:41.118	0.131000
14:57:42.118	0.131000
14:57:43.118	0.131000
14:57:44.117	0.131000
14:57:45.118	0.132000
14:57:46.117	0.132000
14:57:47.118	0.132000
14:57:48.118	0.132000
14:57:49.117	0.132000
14:57:50.118	0.132000
14:57:51.117	0.132000
14:57:52.118	0.132000
14:57:53.118	0.132000
14:57:54.118	0.132000
14:57:55.117	0.132000
14:57:56.117	0.133000
14:57:57.118	0.133000
14:57:58.117	0.133000
14:57:59.118	0.133000
14:58:00.118	0.133000
14:58:01.117	0.133000
14:58:02.118	0.133000
14:58:03.117	0.133000
14:58:04.118	0.134000
14:58:05.118	0.134000
14:58:06.117	0.134000
14:58:07.118	0.134000
14:58:08.118	0.134000
14:58:09.117	0.134000
14:58:10.118	0.135000
14:58:11.118	0.135000
14:58:12.118	0.135000
14:58:13.118	0.135000
14:58:14.117	0.135000
14:58:15.118	0.135000
14:58:16.118	0.135000
14:58:17.118	0.136000
14:58:18.117	0.136000
14:58:19.118	0.136000
14:58:20.118	0.136000
14:58:21.117	0.136000
14:58:22.118	0.137000
14:58:23.118	0.137000
14:58:24.118	0.137000
14:58:25.118	0.137000
14:58:26.118	0.137000
14:58:27.118	0.138000
14:58:28.118	0.138000
14:58:29.117	0.138000
14:58:30.118	0.138000
14:58:31.118	0.139000
14:58:32.117	0.139000
14:58:33.117	0.139000
14:58:34.117	0.139000
14:58:35.117	0.139000
14:58:36.118	0.139000
14:58:37.117	0.140000
14:58:38.118	0.140000
14:58:39.118	0.141000
14:58:40.117	0.141000
14:58:41.118	0.141000
14:58:42.118	0.141000
14:58:43.118	0.142000
14:58:44.118	0.142000
14:58:45.117	0.142000
14:58:46.118	0.143000
14:58:47.117	0.143000
14:58:48.118	0.143000
14:58:49.118	0.143000
14:58:50.118	0.144000
14:58:51.118	0.144000
14:58:52.118	0.144000
14:58:53.118	0.144000
14:58:54.118	0.145000
14:58:55.118	0.145000
14:58:56.118	0.145000
14:58:57.118	0.146000
14:58:58.118	0.146000
14:58:59.118	0.146000
14:59:00.118	0.146000
14:59:01.118	0.147000
14:59:02.118	0.147000
14:59:03.118	0.147000
14:59:04.118	0.147000
14:59:05.118	0.148000
14:59:06.118	0.148000
14:59:07.117	0.148000
14:59:08.118	0.148000
14:59:09.118	0.148000
14:59:10.117	0.149000
14:59:11.118	0.149000
14:59:12.118	0.149000
14:59:13.118	0.149000
14:59:14.118	0.150000
14:59:15.117	0.150000
14:59:16.118	0.150000
14:59:17.118	0.150000
14:59:18.117	0.150000
14:59:19.117	0.150000
14:59:20.118	0.150000
14:59:21.118	0.151000
14:59:22.118	0.150000
14:59:23.117	0.151000
14:59:24.118	0.151000
14:59:25.118	0.151000
14:59:26.118	0.151000
14:59:27.118	0.151000
14:59:28.118	0.151000
14:59:29.117	0.151000
14:59:30.118	0.152000
14:59:31.118	0.152000
14:59:32.118	0.152000
14:59:33.117	0.152000
14:59:34.118	0.152000
14:59:35.118	0.152000
14:59:36.118	0.152000
14:59:37.118	0.152000
14:59:38.117	0.152000
14:59:39.118	0.152000
14:59:40.118	0.153000
14:59:41.118	0.152000
14:59:42.118	0.153000
14:59:43.118	0.153000
14:59:44.118	0.153000
14:59:45.118	0.153000
14:59:46.117	0.153000
14:59:47.118	0.153000
14:59:48.118	0.153000
14:59:49.117	0.153000
14:59:50.118	0.153000
14:59:51.118	0.153000
14:59:52.118	0.153000
14:59:53.118	0.153000
14:59:54.117	0.153000
14:59:55.118	0.154000
14:59:56.117	0.154000
14:59:57.118	0.154000
14:59:58.118	0.154000
14:59:59.118	0.154000
15:00:00.118	0.154000
15:00:01.117	0.154000
15:00:02.118	0.154000
15:00:03.118	0.154000
15:00:04.118	0.154000
15:00:05.118	0.154000
15:00:06.118	0.154000
15:00:07.118	0.154000
15:00:08.118	0.154000
15:00:09.118	0.154000
15:00:10.117	0.154000
15:00:11.118	0.154000
15:00:12.118	0.154000
15:00:13.118	0.154000
15:00:14.118	0.154000
15:00:15.118	0.154000
15:00:16.118	0.154000
15:00:17.118	0.154000
15:00:18.117	0.154000
15:00:19.118	0.154000
15:00:20.118	0.154000
15:00:21.118	0.153000
15:00:22.118	0.153000
15:00:23.118	0.153000
15:00:24.118	0.153000
15:00:25.118	0.153000
15:00:26.118	0.153000
15:00:27.118	0.153000
15:00:28.118	0.153000
15:00:29.118	0.153000
15:00:30.117	0.153000
15:00:31.117	0.152000
15:00:32.127	0.152000
15:00:33.118	0.152000
15:00:34.117	0.152000
15:00:35.118	0.152000
15:00:36.117	0.152000
15:00:37.118	0.151000
15:00:38.117	0.151000
15:00:39.117	0.151000
15:00:40.117	0.151000
15:00:41.118	0.151000
15:00:42.117	0.151000
15:00:43.118	0.150000
15:00:44.117	0.150000
15:00:45.117	0.150000
15:00:46.118	0.150000
15:00:47.118	0.150000
15:00:48.118	0.149000
15:00:49.118	0.149000
15:00:50.118	0.149000
15:00:51.118	0.149000
15:00:52.118	0.148000
15:00:53.118	0.148000
15:00:54.118	0.148000
15:00:55.118	0.148000
15:00:56.118	0.148000
15:00:57.118	0.147000
15:00:58.118	0.147000
15:00:59.117	0.147000
15:01:00.117	0.147000
15:01:01.118	0.147000
15:01:02.117	0.146000
15:01:03.118	0.146000
15:01:04.118	0.146000
15:01:05.118	0.146000
15:01:06.118	0.145000
15:01:07.119	0.145000
15:01:08.118	0.145000
15:01:09.118	0.145000
15:01:10.117	0.144000
15:01:11.117	0.144000
15:01:12.118	0.144000
15:01:13.117	0.144000
15:01:14.118	0.144000
15:01:15.118	0.144000
15:01:16.118	0.143000
15:01:17.118	0.143000
15:01:18.118	0.143000
15:01:19.118	0.143000
15:01:20.118	0.143000
15:01:21.118	0.142000
15:01:22.118	0.142000
15:01:23.118	0.142000
15:01:24.118	0.142000
15:01:25.118	0.142000
15:01:26.118	0.142000
15:01:27.118	0.141000
15:01:28.118	0.141000
15:01:29.118	0.141000
15:01:30.118	0.141000
15:01:31.118	0.141000
15:01:32.118	0.140000
15:01:33.118	0.140000
15:01:34.118	0.140000
15:01:35.117	0.140000
15:01:36.118	0.140000
15:01:37.118	0.140000
15:01:38.118	0.139000
15:01:39.118	0.139000
15:01:40.118	0.139000
15:01:41.118	0.139000
15:01:42.117	0.139000
15:01:43.118	0.139000
15:01:44.118	0.139000
15:01:45.118	0.138000
15:01:46.118	0.138000
15:01:47.118	0.138000
15:01:48.118	0.138000
15:01:49.118	0.138000
15:01:50.118	0.138000
15:01:51.117	0.137000
15:01:52.117	0.137000
15:01:53.118	0.137000
15:01:54.118	0.137000
15:01:55.117	0.137000
15:01:56.118	0.136000
15:01:57.117	0.136000
15:01:58.117	0.136000
15:01:59.118	0.136000
15:02:00.118	0.136000
15:02:01.118	0.136000
15:02:02.118	0.135000
15:02:03.118	0.135000
15:02:04.118	0.135000
15:02:05.118	0.135000
15:02:06.118	0.135000
15:02:07.118	0.135000
15:02:08.118	0.135000
15:02:09.117	0.134000
15:02:10.118	0.134000
15:02:11.118	0.134000
15:02:12.118	0.134000
15:02:13.118	0.134000
15:02:14.118	0.134000
15:02:15.118	0.134000
15:02:16.118	0.134000
15:02:17.118	0.134000
15:02:18.118	0.134000
15:02:19.118	0.134000
15:02:20.118	0.134000
15:02:21.118	0.133000
15:02:22.118	0.134000
15:02:23.118	0.134000
15:02:24.118	0.133000
15:02:25.118	0.133000
15:02:26.118	0.133000
15:02:27.117	0.133000
15:02:28.118	0.133000
15:02:29.118	0.133000
15:02:30.118	0.133000
15:02:31.118	0.133000
15:02:32.117	0.133000
15:02:33.118	0.133000
15:02:34.118	0.133000
15:02:35.118	0.133000
15:02:36.118	0.133000
15:02:37.117	0.133000
15:02:38.118	0.133000
15:02:39.118	0.133000
15:02:40.118	0.133000
15:02:41.118	0.134000
15:02:42.117	0.134000
15:02:43.118	0.133000
15:02:44.118	0.133000
15:02:45.118	0.134000
15:02:46.118	0.133000
15:02:47.118	0.134000
15:02:48.118	0.134000
15:02:49.118	0.134000
15:02:50.118	0.134000
15:02:51.118	0.134000
15:02:52.118	0.134000
15:02:53.118	0.134000
15:02:54.117	0.134000
15:02:55.118	0.134000
