Chart Recorder Data File Thu, Feb 02, 2023 3:53 PM
Time (s)	Position (m)  
15:00:25.399	0.144000
15:00:27.399	0.144000
15:00:28.399	0.144000
15:00:29.400	0.144000
15:00:30.399	0.144000
15:00:31.400	0.144000
15:00:32.399	0.144000
15:00:33.399	0.144000
15:00:34.399	0.144000
15:00:35.399	0.144000
15:00:36.399	0.144000
15:00:37.399	0.144000
15:00:38.400	0.144000
15:00:39.399	0.145000
15:00:40.399	0.145000
15:00:41.399	0.145000
15:00:42.399	0.145000
15:00:43.400	0.145000
15:00:44.400	0.145000
15:00:45.399	0.145000
15:00:46.399	0.145000
15:00:47.400	0.146000
15:00:48.399	0.146000
15:00:49.399	0.146000
15:00:50.399	0.146000
15:00:51.400	0.146000
15:00:52.399	0.147000
15:00:53.399	0.147000
15:00:54.399	0.147000
15:00:55.400	0.147000
15:00:56.400	0.147000
15:00:57.399	0.148000
15:00:58.399	0.148000
15:00:59.400	0.148000
15:01:00.399	0.148000
15:01:01.399	0.148000
15:01:02.399	0.149000
15:01:03.400	0.149000
15:01:04.400	0.149000
15:01:05.399	0.149000
15:01:06.400	0.150000
15:01:07.399	0.150000
15:01:08.399	0.150000
15:01:09.399	0.150000
15:01:10.399	0.151000
15:01:11.399	0.151000
15:01:12.399	0.151000
15:01:13.400	0.151000
15:01:14.399	0.152000
15:01:15.400	0.152000
15:01:16.399	0.152000
15:01:17.400	0.153000
15:01:18.399	0.153000
15:01:19.405	0.153000
15:01:20.399	0.153000
15:01:21.400	0.154000
15:01:22.400	0.154000
15:01:23.400	0.154000
15:01:24.400	0.155000
15:01:25.400	0.155000
15:01:26.400	0.155000
15:01:27.400	0.156000
15:01:28.399	0.156000
15:01:29.399	0.156000
15:01:30.400	0.157000
15:01:31.400	0.157000
15:01:32.399	0.157000
15:01:33.400	0.157000
15:01:34.400	0.158000
15:01:35.399	0.158000
15:01:36.400	0.158000
15:01:37.399	0.159000
15:01:38.399	0.159000
15:01:39.399	0.159000
15:01:40.399	0.160000
15:01:41.400	0.160000
15:01:42.400	0.160000
15:01:43.400	0.161000
15:01:44.399	0.161000
15:01:45.399	0.161000
15:01:46.399	0.162000
15:01:47.399	0.162000
15:01:48.400	0.162000
15:01:49.400	0.163000
15:01:50.400	0.163000
15:01:51.400	0.163000
15:01:52.399	0.163000
15:01:53.400	0.164000
15:01:54.400	0.164000
15:01:55.399	0.164000
15:01:56.399	0.165000
15:01:57.399	0.165000
15:01:58.399	0.165000
15:01:59.400	0.165000
15:02:00.399	0.165000
15:02:01.399	0.166000
15:02:02.400	0.166000
15:02:03.399	0.166000
15:02:04.399	0.167000
15:02:05.399	0.167000
15:02:06.399	0.167000
15:02:07.399	0.168000
15:02:08.399	0.168000
15:02:09.399	0.168000
15:02:10.399	0.168000
15:02:11.399	0.168000
15:02:12.400	0.169000
15:02:13.400	0.169000
15:02:14.400	0.169000
15:02:15.400	0.169000
15:02:16.399	0.170000
15:02:17.400	0.170000
15:02:18.400	0.170000
15:02:19.399	0.170000
15:02:20.400	0.171000
15:02:21.399	0.171000
15:02:22.399	0.171000
15:02:23.399	0.171000
15:02:24.399	0.171000
15:02:25.399	0.171000
15:02:26.399	0.171000
15:02:27.400	0.172000
15:02:28.399	0.172000
15:02:29.400	0.172000
15:02:30.399	0.172000
15:02:31.400	0.172000
15:02:32.399	0.172000
15:02:33.399	0.173000
15:02:34.400	0.173000
15:02:35.400	0.173000
15:02:36.399	0.173000
15:02:37.399	0.173000
15:02:38.400	0.173000
15:02:39.400	0.173000
15:02:40.399	0.173000
15:02:41.400	0.173000
15:02:42.400	0.173000
15:02:43.400	0.174000
15:02:44.399	0.174000
15:02:45.399	0.174000
15:02:46.399	0.174000
15:02:47.399	0.174000
15:02:48.400	0.174000
15:02:49.399	0.174000
15:02:50.399	0.174000
15:02:51.400	0.174000
15:02:52.399	0.174000
15:02:53.399	0.174000
15:02:54.400	0.174000
15:02:55.399	0.174000
15:02:56.400	0.174000
15:02:57.400	0.174000
15:02:58.399	0.174000
15:02:59.400	0.174000
15:03:00.399	0.174000
15:03:01.399	0.174000
15:03:02.400	0.174000
15:03:03.400	0.174000
15:03:04.399	0.174000
15:03:05.399	0.174000
15:03:06.399	0.174000
15:03:07.399	0.174000
15:03:08.399	0.174000
15:03:09.399	0.174000
15:03:10.400	0.174000
15:03:11.399	0.173000
15:03:12.399	0.173000
15:03:13.399	0.173000
15:03:14.400	0.173000
15:03:15.399	0.173000
15:03:16.399	0.173000
15:03:17.399	0.173000
15:03:18.399	0.173000
15:03:19.399	0.173000
15:03:20.399	0.173000
15:03:21.399	0.172000
15:03:22.400	0.172000
15:03:23.399	0.172000
15:03:24.399	0.172000
15:03:25.399	0.172000
15:03:26.400	0.172000
15:03:27.400	0.171000
15:03:28.399	0.171000
15:03:29.399	0.171000
15:03:30.399	0.171000
15:03:31.399	0.171000
15:03:32.400	0.171000
15:03:33.399	0.171000
15:03:34.399	0.170000
15:03:35.400	0.170000
15:03:36.399	0.170000
15:03:37.400	0.170000
15:03:38.400	0.169000
15:03:39.400	0.169000
15:03:40.399	0.169000
15:03:41.399	0.169000
15:03:42.400	0.169000
15:03:43.400	0.168000
15:03:44.399	0.168000
15:03:45.400	0.168000
15:03:46.399	0.168000
15:03:47.399	0.168000
15:03:48.400	0.167000
15:03:49.400	0.167000
15:03:50.399	0.167000
15:03:51.399	0.166000
15:03:52.399	0.166000
15:03:53.400	0.166000
15:03:54.399	0.166000
15:03:55.399	0.165000
15:03:56.399	0.165000
15:03:57.399	0.165000
15:03:58.399	0.165000
15:03:59.400	0.165000
15:04:00.399	0.164000
15:04:01.399	0.164000
15:04:02.399	0.164000
15:04:03.399	0.163000
15:04:04.400	0.163000
15:04:05.399	0.163000
15:04:06.399	0.163000
15:04:07.399	0.163000
15:04:08.399	0.162000
15:04:09.399	0.162000
15:04:10.399	0.162000
15:04:11.400	0.161000
15:04:12.400	0.161000
15:04:13.400	0.161000
15:04:14.399	0.161000
15:04:15.400	0.160000
15:04:16.399	0.160000
15:04:17.399	0.160000
15:04:18.399	0.160000
15:04:19.400	0.159000
15:04:20.400	0.159000
15:04:21.399	0.159000
15:04:22.400	0.159000
15:04:23.399	0.158000
15:04:24.399	0.158000
15:04:25.400	0.158000
15:04:26.399	0.157000
15:04:27.399	0.157000
15:04:28.399	0.157000
15:04:29.400	0.157000
15:04:30.399	0.156000
15:04:31.400	0.156000
15:04:32.400	0.156000
15:04:33.400	0.156000
15:04:34.400	0.156000
15:04:35.400	0.155000
15:04:36.400	0.155000
15:04:37.399	0.155000
15:04:38.400	0.155000
15:04:39.400	0.154000
15:04:40.399	0.154000
15:04:41.399	0.154000
15:04:42.399	0.154000
15:04:43.400	0.153000
15:04:44.399	0.153000
15:04:45.400	0.153000
15:04:46.399	0.153000
15:04:47.399	0.152000
15:04:48.400	0.152000
15:04:49.399	0.152000
15:04:50.399	0.152000
15:04:51.399	0.152000
15:04:52.400	0.152000
15:04:53.399	0.152000
15:04:54.399	0.151000
15:04:55.399	0.151000
15:04:56.399	0.151000
15:04:57.400	0.151000
15:04:58.399	0.150000
15:04:59.400	0.150000
15:05:00.399	0.150000
15:05:01.399	0.150000
15:05:02.400	0.150000
15:05:03.400	0.150000
15:05:04.399	0.150000
15:05:05.400	0.149000
15:05:06.400	0.150000
15:05:07.399	0.150000
15:05:08.399	0.149000
15:05:09.399	0.149000
15:05:10.399	0.149000
15:05:11.400	0.149000
15:05:12.399	0.149000
15:05:13.399	0.149000
15:05:14.400	0.149000
15:05:15.399	0.149000
15:05:16.399	0.148000
15:05:17.400	0.148000
15:05:18.399	0.148000
15:05:19.400	0.148000
15:05:20.399	0.148000
15:05:21.400	0.148000
15:05:22.399	0.148000
15:05:23.399	0.148000
15:05:24.399	0.148000
15:05:25.399	0.148000
15:05:26.400	0.148000
15:05:27.399	0.148000
15:05:28.400	0.148000
15:05:29.399	0.148000
15:05:30.400	0.148000
15:05:31.400	0.148000
15:05:32.399	0.148000
15:05:33.400	0.148000
15:05:34.399	0.148000
15:05:35.399	0.148000
15:05:36.399	0.148000
15:05:37.399	0.148000
15:05:38.400	0.149000
15:05:39.399	0.149000
15:05:40.399	0.149000
15:05:41.400	0.149000
15:05:42.399	0.149000
15:05:43.399	0.149000
15:05:44.399	0.149000
15:05:45.399	0.149000
15:05:46.399	0.149000
15:05:47.400	0.149000
