Chart Recorder Data File Tue, Feb 07, 2023 1:15 PM
Time (s)	Position (m)  
13:06:31.310	0.162000
13:06:32.309	0.162000
13:06:33.309	0.162000
13:06:34.309	0.162000
13:06:35.310	0.162000
13:06:36.309	0.162000
13:06:37.309	0.162000
13:06:38.309	0.162000
13:06:39.309	0.162000
13:06:40.310	0.162000
13:06:41.309	0.162000
13:06:42.309	0.162000
13:06:43.309	0.162000
13:06:44.309	0.162000
13:06:45.309	0.162000
13:06:46.310	0.162000
13:06:47.310	0.162000
13:06:48.310	0.162000
13:06:49.309	0.162000
13:06:50.310	0.162000
13:06:51.310	0.162000
13:06:52.309	0.162000
13:06:53.309	0.162000
13:06:54.310	0.162000
13:06:55.310	0.162000
13:06:56.310	0.162000
13:06:57.309	0.162000
13:06:58.310	0.162000
13:06:59.310	0.162000
13:07:00.310	0.162000
13:07:01.309	0.162000
13:07:02.309	0.162000
13:07:03.309	0.162000
13:07:04.310	0.162000
13:07:05.309	0.162000
13:07:06.310	0.162000
13:07:07.309	0.162000
13:07:08.309	0.162000
13:07:09.309	0.162000
13:07:10.309	0.162000
13:07:11.309	0.162000
13:07:12.309	0.162000
13:07:13.309	0.162000
13:07:14.310	0.162000
13:07:15.309	0.162000
13:07:16.309	0.162000
13:07:17.310	0.162000
13:07:18.309	0.163000
13:07:19.309	0.163000
13:07:20.309	0.162000
13:07:21.310	0.163000
13:07:22.309	0.162000
13:07:23.310	0.162000
13:07:24.310	0.163000
13:07:25.309	0.163000
13:07:26.309	0.163000
13:07:27.309	0.163000
13:07:28.309	0.163000
13:07:29.309	0.163000
13:07:30.310	0.163000
13:07:31.310	0.163000
13:07:32.309	0.163000
13:07:33.309	0.163000
13:07:34.310	0.163000
13:07:35.310	0.163000
13:07:36.309	0.163000
13:07:37.310	0.163000
13:07:38.310	0.163000
13:07:39.309	0.163000
13:07:40.309	0.163000
13:07:41.310	0.163000
13:07:42.309	0.163000
13:07:43.310	0.163000
13:07:44.309	0.163000
13:07:45.309	0.163000
13:07:46.309	0.163000
13:07:47.309	0.163000
13:07:48.310	0.163000
13:07:49.309	0.163000
13:07:50.309	0.163000
13:07:51.309	0.163000
13:07:52.309	0.163000
13:07:53.309	0.163000
13:07:54.309	0.163000
13:07:55.309	0.163000
13:07:56.309	0.163000
13:07:57.309	0.163000
13:07:58.309	0.163000
13:07:59.310	0.163000
13:08:00.309	0.163000
13:08:01.309	0.163000
13:08:02.310	0.163000
13:08:03.310	0.163000
13:08:04.310	0.163000
13:08:05.310	0.163000
13:08:06.310	0.163000
13:08:07.309	0.163000
13:08:08.310	0.164000
13:08:09.309	0.164000
13:08:10.309	0.163000
13:08:11.310	0.164000
13:08:12.309	0.164000
13:08:13.309	0.164000
13:08:14.309	0.164000
13:08:15.309	0.164000
13:08:16.309	0.164000
13:08:17.310	0.164000
13:08:18.309	0.164000
13:08:19.309	0.164000
13:08:20.309	0.164000
13:08:21.309	0.164000
13:08:22.309	0.164000
13:08:23.309	0.164000
13:08:24.309	0.164000
13:08:25.309	0.164000
13:08:26.309	0.164000
13:08:27.309	0.164000
13:08:28.309	0.164000
13:08:29.310	0.164000
13:08:30.309	0.164000
13:08:31.309	0.164000
13:08:32.309	0.164000
13:08:33.309	0.164000
13:08:34.309	0.164000
13:08:35.309	0.164000
13:08:36.309	0.164000
13:08:37.309	0.164000
13:08:38.309	0.164000
13:08:39.310	0.164000
13:08:40.309	0.164000
13:08:41.309	0.164000
13:08:42.310	0.164000
13:08:43.309	0.164000
13:08:44.310	0.164000
13:08:45.309	0.164000
13:08:46.309	0.164000
13:08:47.310	0.164000
13:08:48.309	0.164000
13:08:49.310	0.164000
13:08:50.309	0.164000
13:08:51.310	0.164000
13:08:52.309	0.164000
13:08:53.310	0.164000
13:08:54.309	0.164000
13:08:55.309	0.164000
13:08:56.310	0.164000
13:08:57.310	0.164000
13:08:58.309	0.164000
13:08:59.309	0.164000
13:09:00.309	0.164000
13:09:01.309	0.164000
13:09:02.309	0.164000
13:09:03.309	0.164000
13:09:04.310	0.164000
13:09:05.309	0.164000
13:09:06.309	0.164000
13:09:07.309	0.164000
13:09:08.309	0.164000
13:09:09.309	0.164000
13:09:10.310	0.163000
13:09:11.309	0.164000
13:09:12.310	0.164000
13:09:13.309	0.164000
13:09:14.309	0.164000
13:09:15.309	0.164000
13:09:16.310	0.163000
13:09:17.309	0.163000
13:09:18.310	0.163000
13:09:19.310	0.163000
13:09:20.310	0.163000
13:09:21.309	0.163000
13:09:22.310	0.163000
13:09:23.309	0.163000
13:09:24.309	0.163000
13:09:25.310	0.163000
13:09:26.310	0.163000
13:09:27.309	0.163000
13:09:28.309	0.163000
13:09:29.310	0.163000
13:09:30.310	0.163000
13:09:31.310	0.163000
13:09:32.309	0.163000
13:09:33.310	0.163000
13:09:34.310	0.163000
13:09:35.309	0.163000
13:09:36.310	0.163000
13:09:37.309	0.163000
13:09:38.309	0.163000
13:09:39.309	0.163000
13:09:40.310	0.163000
13:09:41.309	0.163000
13:09:42.310	0.163000
13:09:43.310	0.163000
13:09:44.309	0.163000
13:09:45.309	0.163000
13:09:46.309	0.163000
13:09:47.310	0.163000
13:09:48.309	0.163000
13:09:49.309	0.163000
13:09:50.309	0.162000
13:09:51.309	0.163000
13:09:52.309	0.162000
13:09:53.309	0.163000
13:09:54.309	0.162000
