Chart Recorder Data File Thu, Feb 09, 2023 1:14 PM
Time (s)	Position (m)  
13:12:22.118	0.166000
13:12:23.118	0.166000
13:12:24.117	0.166000
13:12:25.117	0.166000
13:12:26.117	0.166000
13:12:27.118	0.166000
13:12:28.117	0.166000
13:12:29.118	0.166000
13:12:30.118	0.166000
13:12:31.118	0.166000
13:12:32.118	0.166000
13:12:33.118	0.166000
13:12:34.118	0.166000
13:12:35.117	0.166000
13:12:36.117	0.166000
13:12:37.118	0.166000
13:12:38.118	0.166000
13:12:39.118	0.166000
13:12:40.118	0.166000
13:12:41.118	0.166000
13:12:42.118	0.166000
13:12:43.118	0.166000
13:12:44.118	0.166000
13:12:45.118	0.166000
13:12:46.122	0.166000
13:12:47.118	0.166000
13:12:48.118	0.166000
13:12:49.118	0.166000
13:12:50.118	0.166000
13:12:51.118	0.166000
13:12:52.118	0.166000
13:12:53.118	0.166000
13:12:54.117	0.166000
13:12:55.118	0.166000
13:12:56.117	0.166000
13:12:57.118	0.166000
13:12:58.118	0.166000
13:12:59.117	0.166000
13:13:00.118	0.166000
13:13:01.118	0.166000
13:13:02.118	0.166000
13:13:03.117	0.166000
13:13:04.118	0.166000
13:13:05.118	0.166000
13:13:06.118	0.166000
13:13:07.117	0.167000
13:13:08.118	0.167000
13:13:09.118	0.167000
13:13:10.118	0.166000
13:13:11.118	0.166000
13:13:12.118	0.166000
13:13:13.118	0.166000
13:13:14.118	0.167000
13:13:15.118	0.167000
13:13:16.118	0.166000
13:13:17.118	0.167000
13:13:18.118	0.167000
13:13:19.119	0.167000
13:13:20.118	0.167000
13:13:21.118	0.167000
13:13:22.117	0.167000
13:13:23.118	0.167000
13:13:24.118	0.167000
13:13:25.118	0.167000
13:13:26.117	0.167000
13:13:27.118	0.167000
13:13:28.118	0.167000
13:13:29.118	0.167000
13:13:30.117	0.167000
13:13:31.118	0.167000
13:13:32.117	0.167000
13:13:33.118	0.167000
13:13:34.117	0.167000
13:13:35.118	0.167000
13:13:36.117	0.167000
13:13:37.118	0.167000
13:13:38.118	0.167000
13:13:39.117	0.167000
13:13:40.118	0.167000
13:13:41.118	0.167000
13:13:42.118	0.167000
13:13:43.118	0.167000
13:13:44.118	0.167000
13:13:45.117	0.167000
13:13:46.118	0.167000
13:13:47.118	0.167000
13:13:48.118	0.167000
13:13:49.118	0.167000
13:13:50.118	0.167000
13:13:51.118	0.167000
13:13:52.118	0.167000
13:13:53.118	0.167000
13:13:54.118	0.167000
13:13:55.118	0.166000
13:13:56.117	0.166000
13:13:57.118	0.166000
13:13:58.118	0.166000
13:13:59.118	0.166000
13:14:00.118	0.166000
13:14:01.118	0.166000
13:14:02.118	0.166000
13:14:03.118	0.166000
13:14:04.118	0.166000
13:14:05.118	0.166000
13:14:06.118	0.166000
13:14:07.117	0.166000
13:14:08.118	0.166000
13:14:09.118	0.166000
